Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2020-12-29,Afton Alps,Minnesota,United_States,EPIC,0,12,N/A,24
2020-12-29,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0,16,N/A,39
2020-12-29,Alta Ski Area,Utah,United_States,IKON,1,40,N/A,40
2020-12-29,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0,59,53,24
2020-12-29,Arapahoe Basin Ski Area,Colorado,United_States,IKON,5,33,33,33
2020-12-29,Aspen Snowmass,Colorado,United_States,IKON,11,26,36,42
2020-12-29,Bear Mountain,California,United_States,IKON,0,24,N/A,36
2020-12-29,Beaver Creek,Colorado,United_States,EPIC,6,25,25,25
2020-12-29,Big Sky,Montana,United_States,IKON,0,20,N/A,30
2020-12-29,Blue Mountain,Ontario,Canada,IKON,0,14,14,14
2020-12-29,Boyne Highlands,Michigan,United_States,IKON,0,40,N/A,40
2020-12-29,Boyne Mountain Resort,Michigan,United_States,IKON,0,21,N/A,21
2020-12-29,Breckenridge,Colorado,United_States,EPIC,4,29,29,29
2020-12-29,Brides les Bains,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-29,Brighton Resort,Utah,United_States,IKON,4,32,N/A,32
2020-12-29,Copper Mountain,Colorado,United_States,IKON,4,25,25,25
2020-12-29,Courchevel,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-29,Crested Butte Mountain Resort,Colorado,United_States,EPIC,7,33,33,33
2020-12-29,Crystal Mountain,Washington,United_States,IKON,0,44,53,55
2020-12-29,Cypress Mountain,British_Columbia,Canada,IKON,0,N/A,98,98
2020-12-29,Deer Valley Resort,Utah,United_States,IKON,2,22,22,22
2020-12-29,Eldora Mountain Resort,Colorado,United_States,IKON,2,12,12,12
2020-12-29,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2020-12-29,Fernie Alpine,British_Columbia,Canada,EPIC,0,28,N/A,53
2020-12-29,Folgàrida - Marilléva,Trentino,Italy,EPIC,0,N/A,N/A,N/A
2020-12-29,Heavenly,California,United_States,EPIC,0,28,34,50
2020-12-29,Jackson Hole,Wyoming,United_States,IKON,0,17,42,58
2020-12-29,June Mountain,California,United_States,IKON,0,N/A,N/A,N/A
2020-12-29,Keystone,Colorado,United_States,EPIC,3,27,27,27
2020-12-29,Kicking Horse,British_Columbia,Canada,EPIC,1,71,165,168
2020-12-29,Killington Resort,Vermont,United_States,IKON,0,24,24,24
2020-12-29,Kimberley,British_Columbia,Canada,EPIC,0,16,20,24
2020-12-29,Kirkwood,California,United_States,EPIC,0,26,33,33
2020-12-29,La Tania,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-29,Lake Louise,Alberta,Canada,IKON,0,38,N/A,51
2020-12-29,Les Menuires,Northern_Alps,France,EPIC,0,14,N/A,20
2020-12-29,Loon Mountain,New_Hampshire,United_States,IKON,1,18,22,26
2020-12-29,Madonna di Campiglio,Trentino,Italy,EPIC,0,51,N/A,99
2020-12-29,Mammoth Mountain,California,United_States,IKON,3,29,42,35
2020-12-29,Meribel,Northern_Alps,France,EPIC,0,12,N/A,35
2020-12-29,Mont Sainte Anne,Quebec,Canada,EPIC,7,N/A,N/A,51
2020-12-29,Monte Bondone,Trentino,Italy,EPIC,0,24,N/A,47
2020-12-29,Mount Sunapee,New_Hampshire,United_States,EPIC,0,18,18,18
2020-12-29,Mt. Bachelor,Oregon,United_States,IKON,0,52,62,62
2020-12-29,Mt. Brighton,Michigan,United_States,EPIC,1,26,26,26
2020-12-29,Mt. Buller,Australia,Australia,IKON,0,0,N/A,0
2020-12-29,Mt. Hotham,Australia,Australia,EPIC,0,0,0,0
2020-12-29,Mt. Norquay,Alberta,Canada,IKON,0,20,N/A,20
2020-12-29,Nakiska Ski Area,Alberta,Canada,EPIC,0,42,42,42
2020-12-29,Nendaz,Valais,Switzerland,EPIC,0,16,N/A,47
2020-12-29,Northstar California,California,United_States,EPIC,0,18,N/A,32
2020-12-29,Okemo Mountain Resort,Vermont,United_States,EPIC,0,16,16,16
2020-12-29,Orelle,Northern_Alps,France,EPIC,0,0,N/A,0
2020-12-29,Park City,Utah,United_States,EPIC,4,20,N/A,23
2020-12-29,Pejo,Trentino,Italy,EPIC,0,N/A,N/A,N/A
2020-12-29,Perisher,Australia,Australia,EPIC,0,0,0,0
2020-12-29,Pinzolo,Trentino,Italy,EPIC,0,16,47,67
2020-12-29,Pontedilegno - Tonale,Trentino,Italy,EPIC,0,59,118,236
