,Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
72,2021-01-06,Sugarloaf,Maine,United_States,IKON,0,10.0,12.0,15.0
73,2021-01-06,Sun Valley,Idaho,United_States,EPIC,0,35.0,37.0,41.0
74,2021-01-06,Sunday River,Maine,United_States,IKON,0,14.0,20.0,24.0
75,2021-01-06,Sunshine Village,Alberta,Canada,IKON,0,55.0,,200.0
76,2021-01-06,Taos Ski Valley,New_Mexico,United_States,IKON,0,36.0,49.0,
77,2021-01-06,Telluride,Colorado,United_States,EPIC,2,23.0,29.0,32.0
78,2021-01-06,The Summit at Snoqualmie,Washington,United_States,IKON,11,95.0,95.0,95.0
79,2021-01-06,Thredbo Alpine Resort,Australia,Australia,IKON,0,0.0,,0.0
80,2021-01-06,Thyon 2000,Valais,Switzerland,EPIC,0,16.0,,47.0
81,2021-01-06,Tremblant,Quebec,Canada,IKON,0,,,55.0
82,2021-01-06,Vail,Colorado,United_States,EPIC,6,34.0,34.0,34.0
83,2021-01-06,Val Thorens,Northern_Alps,France,EPIC,0,31.0,,51.0
84,2021-01-06,Verbier,Valais,Switzerland,EPIC,0,14.0,,41.0
85,2021-01-06,Veysonnaz,Valais,Switzerland,EPIC,0,16.0,,47.0
86,2021-01-06,Whistler Blackcomb,British_Columbia,Canada,EPIC,9,106.0,106.0,106.0
87,2021-01-06,Wilmot Mountain,Wisconsin,United_States,EPIC,0,20.0,20.0,20.0
88,2021-01-06,Windham Mountain,New_York,United_States,IKON,0,12.0,,24.0
89,2021-01-06,Winter Park,Colorado,United_States,IKON,5,40.0,40.0,40.0
