Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2021-02-12,Afton Alps,Minnesota,United_States,EPIC,0,12,N/A,24
2021-02-12,Alpine Valley Resort,Wisconsin,United_States,EPIC,0,10,N/A,25
2021-02-12,Arapahoe Basin Ski Area,Colorado,United_States,IKON,9,53,53,53
2021-02-12,Attitash,New_Hampshire,United_States,EPIC,2,32,N/A,32
2021-02-12,Beaver Creek,Colorado,United_States,EPIC,7,41,41,41
2021-02-12,Big Boulder,Pennsylvania,United_States,EPIC,0,24,N/A,30
2021-02-12,Big Sky,Montana,United_States,IKON,3,45,52,78
2021-02-12,Blue Mountain,Ontario,Canada,IKON,0,14,14,14
2021-02-12,Boston Mills,Ohio,United_States,EPIC,0,10,N/A,18
2021-02-12,Boyne Highlands,Michigan,United_States,IKON,0,47,N/A,47
2021-02-12,Boyne Mountain Resort,Michigan,United_States,IKON,0,45,N/A,45
2021-02-12,Brandywine,Ohio,United_States,EPIC,0,10,N/A,18
2021-02-12,Breckenridge,Colorado,United_States,EPIC,10,49,49,49
2021-02-12,Brighton Resort,Utah,United_States,IKON,10,66,N/A,66
2021-02-12,Coronet Peak,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-02-12,Crested Butte Mountain Resort,Colorado,United_States,EPIC,7,58,58,58
2021-02-12,Crotched Mountain,New_Hampshire,United_States,EPIC,1,15,N/A,30
2021-02-12,Crystal Mountain,Washington,United_States,IKON,0,70,101,102
2021-02-12,Cypress Mountain,British_Columbia,Canada,IKON,2,93,N/A,161
2021-02-12,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2021-02-12,Heavenly,California,United_States,EPIC,2,46,56,72
2021-02-12,Hidden Valley Resort,Pennsylvania,United_States,EPIC,0,42,N/A,54
2021-02-12,Jack Frost,Pennsylvania,United_States,EPIC,0,24,N/A,30
2021-02-12,June Mountain,California,United_States,IKON,1,48,N/A,72
2021-02-12,Keystone,Colorado,United_States,EPIC,5,41,41,41
2021-02-12,Kirkwood,California,United_States,EPIC,3,77,68,64
2021-02-12,Liberty,Pennsylvania,United_States,EPIC,0,12,N/A,16
2021-02-12,Loon Mountain,New_Hampshire,United_States,IKON,0,28,N/A,36
2021-02-12,Mad River Mountain,Ohio,United_States,EPIC,0,24,N/A,24
2021-02-12,Mammoth Mountain,California,United_States,IKON,0,75,120,110
2021-02-12,Mount Snow,Vermont,United_States,EPIC,0,38,N/A,38
2021-02-12,Mount Sunapee,New_Hampshire,United_States,EPIC,0,24,N/A,24
2021-02-12,Mt. Brighton,Michigan,United_States,EPIC,1,42,42,42
2021-02-12,Mt. Buller,Australia,Australia,IKON,0,0,N/A,0
2021-02-12,Mt. Hotham,Australia,Australia,EPIC,0,0,0,0
2021-02-12,Mt. Hutt Ski Area,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-02-12,Northstar California,California,United_States,EPIC,4,33,N/A,80
2021-02-12,Okemo Mountain Resort,Vermont,United_States,EPIC,0,29,N/A,35
2021-02-12,Paoli Peaks,Indiana,United_States,EPIC,0,18,N/A,36
2021-02-12,Park City,Utah,United_States,EPIC,3,39,N/A,44
2021-02-12,Perisher,Australia,Australia,EPIC,0,0,0,0
2021-02-12,Revelstoke,British_Columbia,Canada,IKON,0,N/A,N/A,88
2021-02-12,Roundtop Mountain Resort,Pennsylvania,United_States,EPIC,0,20,N/A,20
2021-02-12,Snow Creek,Missouri,United_States,EPIC,0,20,N/A,20
2021-02-12,Snowshoe Mountain,West_Virginia,United_States,IKON,0,60,N/A,60
2021-02-12,Solitude Mountain Resort,Utah,United_States,IKON,6,75,75,75
2021-02-12,Squaw Valley Alpine Meadows,California,United_States,IKON,6,80,128,N/A
2021-02-12,Steamboat,Colorado,United_States,IKON,9,51,51,75
2021-02-12,Stevens Pass Resort,Washington,United_States,EPIC,6,111,129,145
2021-02-12,Stowe Mountain,Vermont,United_States,EPIC,0,24,36,48
2021-02-12,Stratton Mountain,Vermont,United_States,IKON,0,22,22,22
2021-02-12,Sugarbush,Vermont,United_States,IKON,0,30,N/A,52
2021-02-12,Sugarloaf,Maine,United_States,IKON,0,22,25,28
2021-02-12,Sunday River,Maine,United_States,IKON,0,18,24,30
2021-02-12,Taos Ski Valley,New_Mexico,United_States,IKON,1,54,68,68
2021-02-12,The Remarkables,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-02-12,The Summit at Snoqualmie,Washington,United_States,IKON,0,N/A,N/A,98
2021-02-12,Thredbo Alpine Resort,Australia,Australia,IKON,0,0,N/A,0
2021-02-12,Tremblant,Quebec,Canada,IKON,0,24,N/A,24
2021-02-12,Vail,Colorado,United_States,EPIC,6,53,53,53
2021-02-12,Valle Nevado,Chile,Chile,IKON,0,0,0,0
2021-02-12,Whistler Blackcomb,British_Columbia,Canada,EPIC,2,96,96,96
2021-02-12,Whitetail Resort,Pennsylvania,United_States,EPIC,0,20,N/A,20
2021-02-12,Wildcat Mountain,New_Hampshire,United_States,EPIC,1,18,N/A,36
2021-02-12,Wilmot Mountain,Wisconsin,United_States,EPIC,0,20,N/A,20
2021-02-12,Winter Park,Colorado,United_States,IKON,9,60,60,60
