Date,Resort_Name,Region,Country,Pass,Snowfall,Lower_Depth,Middle_Depth,Upper_Depth
2021-03-28,Afton Alps,Minnesota,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Alpine Valley Resort,Wisconsin,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Arapahoe Basin Ski Area,Colorado,United_States,IKON,0,54,54,54
2021-03-28,Attitash,New_Hampshire,United_States,EPIC,0,11,N/A,19
2021-03-28,Beaver Creek,Colorado,United_States,EPIC,0,50,50,50
2021-03-28,Big Boulder,Pennsylvania,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Big Sky,Montana,United_States,IKON,0,54,54,81
2021-03-28,Blue Mountain,Ontario,Canada,IKON,0,N/A,N/A,N/A
2021-03-28,Boston Mills,Ohio,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Boyne Highlands,Michigan,United_States,IKON,0,N/A,N/A,N/A
2021-03-28,Boyne Mountain Resort,Michigan,United_States,IKON,0,23,N/A,N/A
2021-03-28,Brandywine,Ohio,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Breckenridge,Colorado,United_States,EPIC,0,59,59,59
2021-03-28,Brighton Resort,Utah,United_States,IKON,0,80,N/A,80
2021-03-28,Coronet Peak,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-03-28,Crested Butte Mountain Resort,Colorado,United_States,EPIC,0,53,53,53
2021-03-28,Crotched Mountain,New_Hampshire,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Crystal Mountain,Washington,United_States,IKON,11,94,128,134
2021-03-28,Cypress Mountain,British_Columbia,Canada,IKON,2,106,N/A,203
2021-03-28,Falls Creek Alpine Resort,Australia,Australia,EPIC,0,0,N/A,0
2021-03-28,Heavenly,California,United_States,EPIC,0,41,51,67
2021-03-28,Hidden Valley Resort,Pennsylvania,United_States,EPIC,0,0,N/A,0
2021-03-28,Jack Frost,Pennsylvania,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,June Mountain,California,United_States,IKON,0,48,N/A,72
2021-03-28,Keystone,Colorado,United_States,EPIC,0,53,53,53
2021-03-28,Kirkwood,California,United_States,EPIC,0,64,56,72
2021-03-28,Liberty,Pennsylvania,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Loon Mountain,New_Hampshire,United_States,IKON,0,28,N/A,36
2021-03-28,Mad River Mountain,Ohio,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Mammoth Mountain,California,United_States,IKON,0,60,100,95
2021-03-28,Mount Snow,Vermont,United_States,EPIC,0,41,N/A,41
2021-03-28,Mount Sunapee,New_Hampshire,United_States,EPIC,0,12,N/A,32
2021-03-28,Mt. Brighton,Michigan,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Mt. Buller,Australia,Australia,IKON,0,0,N/A,0
2021-03-28,Mt. Hotham,Australia,Australia,EPIC,0,0,0,0
2021-03-28,Mt. Hutt Ski Area,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-03-28,Northstar California,California,United_States,EPIC,0,18,N/A,66
2021-03-28,Okemo Mountain Resort,Vermont,United_States,EPIC,0,18,N/A,24
2021-03-28,Paoli Peaks,Indiana,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Park City,Utah,United_States,EPIC,0,N/A,N/A,60
2021-03-28,Perisher,Australia,Australia,EPIC,0,0,0,0
2021-03-28,Revelstoke,British_Columbia,Canada,IKON,5,N/A,N/A,N/A
2021-03-28,Roundtop Mountain Resort,Pennsylvania,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Snow Creek,Missouri,United_States,EPIC,0,0,N/A,0
2021-03-28,Snowshoe Mountain,West_Virginia,United_States,IKON,0,N/A,N/A,N/A
2021-03-28,Solitude Mountain Resort,Utah,United_States,IKON,0,71,N/A,71
2021-03-28,Squaw Valley Alpine Meadows,California,United_States,IKON,0,66,114,N/A
2021-03-28,Steamboat,Colorado,United_States,IKON,0,43,43,70
2021-03-28,Stevens Pass Resort,Washington,United_States,EPIC,16,122,148,169
2021-03-28,Stowe Mountain,Vermont,United_States,EPIC,0,10,20,30
2021-03-28,Stratton Mountain,Vermont,United_States,IKON,0,16,16,16
2021-03-28,Sugarbush,Vermont,United_States,IKON,1,20,N/A,48
2021-03-28,Sugarloaf,Maine,United_States,IKON,1,10,13,16
2021-03-28,Sunday River,Maine,United_States,IKON,0,20,N/A,20
2021-03-28,Taos Ski Valley,New_Mexico,United_States,IKON,0,65,80,80
2021-03-28,The Remarkables,New_Zealand,New_Zealand,IKON,0,0,N/A,0
2021-03-28,The Summit at Snoqualmie,Washington,United_States,IKON,6,116,N/A,N/A
2021-03-28,Thredbo Alpine Resort,Australia,Australia,IKON,0,0,N/A,0
2021-03-28,Tremblant,Quebec,Canada,IKON,0,30,N/A,50
2021-03-28,Vail,Colorado,United_States,EPIC,0,53,53,53
2021-03-28,Valle Nevado,Chile,Chile,IKON,0,0,0,0
2021-03-28,Whistler Blackcomb,British_Columbia,Canada,EPIC,2,0,0,0
2021-03-28,Whitetail Resort,Pennsylvania,United_States,EPIC,0,32,N/A,32
2021-03-28,Wildcat Mountain,New_Hampshire,United_States,EPIC,0,11,N/A,23
2021-03-28,Wilmot Mountain,Wisconsin,United_States,EPIC,0,N/A,N/A,N/A
2021-03-28,Winter Park,Colorado,United_States,IKON,0,73,N/A,73
